,GRU_pre_down_1step,GRU_pre_down_2step,GRU_pre_down_4step,GRU_pre_up_1step,GRU_pre_up_2step,GRU_pre_up_4step,GRU_real_down_1step,GRU_real_down_2step,GRU_real_down_4step,GRU_real_up_1step,GRU_real_up_2step,GRU_real_up_4step
23,419.7298,461.93732,208.464,64.8244,51.99852,224.30829,536.6400000000004,492.0,228.04000000000013,63.35999999999946,69.0,191.07999999999896
24,310.40326,447.2926,203.64586,210.96118,41.450554,258.14838,244.1500000000001,492.0,228.04000000000013,156.0,45.0,354.1599999999997
25,256.63763,447.2926,203.64586,330.1106,41.450554,258.14838,217.15000000000006,492.0,228.04000000000013,315.0,45.0,354.1599999999997
26,236.64093,455.7573,203.64586,389.70956,47.33232,258.14838,193.55000000000024,534.0,228.04000000000013,338.59999999999985,45.0,354.1599999999997
27,254.58607,455.7573,203.64586,376.49246,47.33232,258.14838,241.29000000000113,534.0,228.04000000000013,329.2099999999989,45.0,354.1599999999997
28,293.2718,428.50815,249.42696,339.48245,53.044537,113.316734,288.0,516.0,228.04000000000013,312.0,66.0,108.0
29,281.4373,428.50815,249.42696,355.22064,53.044537,113.316734,291.0,516.0,228.04000000000013,309.0,66.0,108.0
30,276.3855,434.77493,249.42696,360.54276,43.576714,113.316734,279.0,516.0,228.04000000000013,321.0,45.0,108.0
31,268.8533,434.77493,249.42696,370.02716,43.576714,113.316734,278.56800000000015,516.0,228.04000000000013,321.43199999999985,45.0,108.0
32,208.44884,445.13522,286.00998,431.9852,37.644733,88.87653,201.0,438.0,243.0,399.0,45.0,69.0
33,183.4546,445.13522,286.00998,452.72037,37.644733,88.87653,177.56000000000083,438.0,243.0,422.43999999999954,45.0,69.0
34,88.19086,447.60364,286.00998,555.39484,31.930202,88.87653,79.04600000000033,540.0,243.0,456.0539999999999,18.0,69.0
35,53.439426,447.60364,286.00998,567.89386,31.930202,88.87653,48.31000000000002,540.0,243.0,483.8399999999999,18.0,69.0
36,38.283253,452.08923,260.0577,570.1105,32.29753,49.70382,15.0,519.0,243.0,510.0,18.0,69.0
37,41.2841,452.08923,260.0577,561.32446,32.29753,49.70382,51.0,519.0,243.0,549.0,18.0,69.0
38,43.22023,444.71033,260.0577,562.6257,36.074356,49.70382,60.0,519.0,243.0,540.0,0.0,69.0
39,59.71865,444.71033,260.0577,546.57324,36.074356,49.70382,39.0,519.0,243.0,561.0,0.0,69.0
40,0.1787992,437.65396,465.64597,569.8928,42.725624,14.723613,0.0,519.0,489.0,600.0,0.0,45.0
41,-7.0945807,437.65396,465.64597,569.6125,42.725624,14.723613,0.0,519.0,489.0,600.0,0.0,45.0
42,1.0826572,433.26544,465.64597,544.6318,45.233677,14.723613,0.0,519.0,489.0,600.0,18.0,45.0
43,0.4678899,433.26544,465.64597,543.4242,45.233677,14.723613,0.0,519.0,489.0,600.0,18.0,45.0
44,-3.332674,436.9329,461.93732,546.5486,48.06752,19.530893,0.0,536.6400000000004,492.0,600.0,0.0,45.0
