,TCN_real_up_1step,TCN_real_up_2step,TCN_real_up_4step,TCN_pre_up_1step,TCN_pre_up_2step,TCN_pre_up_4step,TCN_real_down_1step,TCN_real_down_2step,TCN_real_down_4step,TCN_pre_down_1step,TCN_pre_down_2step,TCN_pre_down_4step
46,600.0,63.35999999999946,45.0,592.80963,123.955956,57.00845,0.0,244.1500000000001,492.0,-0.025744736,340.14478,498.49515
47,600.0,63.35999999999946,45.0,602.13086,123.955956,57.00845,0.0,244.1500000000001,492.0,-0.3208503,340.14478,498.49515
48,600.0,156.0,39.0,595.42615,188.56181,25.721611,0.0,217.15000000000006,414.0,-0.66634345,192.32317,408.9059
49,600.0,156.0,39.0,611.3147,188.56181,25.721611,0.0,217.15000000000006,414.0,-0.29602423,192.32317,408.9059
50,600.0,293.59999999999985,39.0,604.9491,295.6915,25.721611,0.0,193.55000000000024,414.0,-0.76886976,164.57253,408.9059
51,600.0,293.59999999999985,39.0,593.4893,295.6915,25.721611,0.0,193.55000000000024,414.0,-0.7705372,164.57253,408.9059
52,600.0,245.859999999999,39.0,597.49493,300.38785,22.357504,0.0,193.55000000000024,414.0,-1.7877247,140.41551,456.67538
53,600.0,245.859999999999,39.0,595.0849,300.38785,22.357504,0.0,193.55000000000024,414.0,-0.96562093,140.41551,456.67538
54,600.0,297.0,39.0,589.8662,272.1368,22.357504,0.0,241.29000000000113,414.0,-0.48977023,218.37155,456.67538
55,600.0,297.0,39.0,598.2877,272.1368,22.357504,0.0,241.29000000000113,414.0,0.46153775,218.37155,456.67538
56,588.0,309.0,12.0,599.6905,304.94736,4.997617,12.0,288.0,438.0,27.19767,272.87866,452.03568
57,552.0,309.0,12.0,557.92163,304.94736,4.997617,48.0,288.0,438.0,37.44252,272.87866,452.03568
58,555.0,309.0,12.0,563.7124,330.5225,4.997617,45.0,279.0,438.0,33.490105,286.63113,452.03568
59,570.0,309.0,12.0,567.23694,330.5225,4.997617,30.0,279.0,438.0,43.604847,286.63113,452.03568
60,553.72,321.0,0.0,530.5647,342.87042,4.122759,46.28000000000004,278.56800000000015,438.0,45.719353,300.93292,402.93878
61,557.804,321.0,0.0,542.0037,342.87042,4.122759,42.19600000000007,278.56800000000015,438.0,60.730247,300.93292,402.93878
62,589.134,321.43199999999985,0.0,555.02155,335.1525,4.122759,10.866000000000032,201.0,438.0,43.56454,229.54616,402.93878
63,523.72,321.43199999999985,0.0,548.8067,335.1525,4.122759,76.28000000000004,201.0,438.0,52.82886,229.54616,402.93878
64,493.2239999999996,378.0,0.0,487.15527,351.02277,8.459091,106.77600000000044,177.56000000000083,417.0,142.50458,182.08974,468.10834
65,451.13399999999996,378.0,0.0,510.55276,351.02277,8.459091,148.86600000000004,177.56000000000083,417.0,110.06438,182.08974,468.10834
66,470.35999999999984,422.43999999999954,0.0,454.1961,374.78595,8.459091,129.64000000000016,79.04600000000033,417.0,127.59597,63.661613,468.10834
67,492.0719999999997,422.43999999999954,0.0,483.99872,374.78595,8.459091,107.92800000000025,79.04600000000033,417.0,139.54762,63.661613,468.10834
68,399.1439999999993,456.0539999999999,0.0,408.5401,474.80554,5.4611955,200.85600000000068,48.31000000000002,519.0,184.3121,34.958096,557.4601
69,487.6999999999998,456.0539999999999,0.0,510.10995,474.80554,5.4611955,112.19999999999996,48.31000000000002,519.0,165.27924,34.958096,557.4601
70,490.5499999999998,483.8399999999999,0.0,495.23395,438.99622,5.4611955,109.34999999999992,15.0,519.0,121.8485,15.80192,557.4601
71,453.26999999999975,483.8399999999999,0.0,503.89612,438.99622,5.4611955,146.63000000000005,15.0,519.0,127.329475,15.80192,557.4601
72,510.60599999999886,465.0,0.0,495.57993,442.25647,4.5509396,89.29400000000086,15.0,519.0,127.75461,15.696277,556.354
73,385.23799999999943,465.0,0.0,442.424,442.25647,4.5509396,214.6620000000008,15.0,519.0,223.20857,15.696277,556.354
74,379.54999999999984,456.0,0.0,441.80014,470.9111,4.5509396,220.3500000000001,51.0,519.0,246.81815,20.027044,556.354
75,383.06199999999865,456.0,0.0,353.94418,470.9111,4.5509396,215.6380000000011,51.0,519.0,270.2853,20.027044,556.354
76,600.0,477.0,0.0,601.4789,436.59564,5.170605,0.0,39.0,519.0,-1.6546614,29.719288,569.4238
77,600.0,477.0,0.0,589.14557,436.59564,5.170605,0.0,39.0,519.0,-0.9872284,29.719288,569.4238
