GRU_pre_down_1step,GRU_pre_down_2step,GRU_pre_down_4step,GRU_pre_up_1step,GRU_pre_up_2step,GRU_pre_up_4step,real_down_1step,real_down_2step,real_down_4step,real_up_1step,real_up_2step,real_up_4step,TCN_pre_up_1step,TCN_pre_up_2step,TCN_pre_up_4step,TCN_pre_down_1step,TCN_pre_down_2step,TCN_pre_down_4step,LTSM_pre_down_1step,LTSM_pre_down_2step,LTSM_pre_down_4step,LTSM_pre_up_1step,LTSM_pre_up_2step,LTSM_pre_up_4step
43.22023,444.71033,260.0577,562.6257,36.074356,49.70382,60,519,243,540,0,69,579.9955,17.907833,40.836914,42.21816,569.4238,43.335686,-60.6407,410.82526,169.21567,492.60037,-14.547057,55.778084
59.71865,444.71033,260.0577,546.57324,36.074356,49.70382,39,519,243,561,0,69,549.6644,17.907833,40.836914,48.28562,569.4238,43.335686,-62.771587,410.82526,169.21567,489.16245,-14.547057,55.778084
0.1787992,437.65396,465.64597,569.8928,42.725624,14.723613,0,519,489,600,0,45,599.3067,22.818834,21.871452,0.34298748,576.40027,448.25735,-74.77873,404.6594,264.3134,508.9967,-5.5677137,34.92732
-7.0945807,437.65396,465.64597,569.6125,42.725624,14.723613,0,519,489,600,0,45,589.4678,22.818834,21.871452,1.2008797,576.40027,448.25735,-82.55232,404.6594,264.3134,512.1532,-5.5677137,34.92732
1.0826572,433.26544,465.64597,544.6318,45.233677,14.723613,0,519,489,600,18,45,586.0942,14.485117,21.871452,0.19175112,565.93353,448.25735,-84.1202,397.57724,264.3134,512.0974,4.7799673,34.92732
0.4678899,433.26544,465.64597,543.4242,45.233677,14.723613,0,519,489,600,18,45,602.2797,14.485117,21.871452,1.1479721,565.93353,448.25735,-84.712906,397.57724,264.3134,514.23193,4.7799673,34.92732
-3.332674,436.9329,461.93732,546.5486,48.06752,19.530893,0,536.64,492,600,0,45,600.393,21.741156,57.00845,-0.13394617,565.45886,498.49515,-86.42189,394.38168,334.53064,515.57916,12.7078905,28.711912
-8.318127,436.9329,461.93732,549.2662,48.06752,19.530893,0,536.64,492,600,0,45,606.09357,21.741156,57.00845,-0.05534962,565.45886,498.49515,-88.47024,394.38168,334.53064,515.78906,12.7078905,28.711912
-12.849275,350.05658,461.93732,551.4736,64.8244,19.530893,0,244.15,492,600,63.36,45,592.80963,123.955956,57.00845,-0.025744736,340.14478,498.49515,-90.09052,379.89966,334.53064,516.0986,27.314165,28.711912
-16.246252,350.05658,461.93732,552.57043,64.8244,19.530893,0,244.15,492,600,63.36,45,602.13086,123.955956,57.00845,-0.3208503,340.14478,498.49515,-91.12396,379.89966,334.53064,516.9304,27.314165,28.711912
-18.560213,255.85481,447.2926,552.6458,210.96118,17.03757,0,217.15,414,600,156,39,595.42615,188.56181,25.721611,-0.66634345,192.32317,408.9059,-91.65506,305.33044,364.72015,518.18713,87.449455,4.017954
-19.967926,255.85481,447.2926,551.8854,210.96118,17.03757,0,217.15,414,600,156,39,611.3147,188.56181,25.721611,-0.29602423,192.32317,408.9059,-91.8234,305.33044,364.72015,519.6748,87.449455,4.017954
-20.686857,224.33708,447.2926,550.47675,326.23895,17.03757,0,193.55,414,600,293.6,39,604.9491,295.6915,25.721611,-0.76886976,164.57253,408.9059,-91.754,242.47667,364.72015,521.1555,160.79576,4.017954
-20.924112,224.33708,447.2926,548.6078,326.23895,17.03757,0,193.55,414,600,293.6,39,593.4893,295.6915,25.721611,-0.7705372,164.57253,408.9059,-91.5244,242.47667,364.72015,522.3981,160.79576,4.017954
-20.85366,236.64093,455.7573,546.4414,310.48676,14.12608,0,193.55,414,600,245.86,39,597.49493,300.38785,22.357504,-1.7877247,140.41551,456.67538,-91.17028,203.10779,384.0288,523.22235,217.0477,-15.482276
-20.616169,236.64093,455.7573,544.11646,310.48676,14.12608,0,193.55,414,600,245.86,39,595.0849,300.38785,22.357504,-0.96562093,140.41551,456.67538,-90.702644,203.10779,384.0288,523.5059,217.0477,-15.482276
-20.321325,254.58607,455.7573,541.74536,265.4478,14.12608,0,241.29,414,600,297,39,589.8662,272.1368,22.357504,-0.48977023,218.37155,456.67538,-90.12045,192.86308,384.0288,523.18054,237.28474,-15.482276
-20.053888,254.58607,455.7573,539.41785,265.4478,14.12608,0,241.29,414,600,297,39,598.2877,272.1368,22.357504,0.46153775,218.37155,456.67538,-89.4184,192.86308,384.0288,522.2258,237.28474,-15.482276
24.404583,259.43243,428.50815,532.2509,264.5401,14.031501,12,288,438,588,309,12,599.6905,304.94736,4.997617,27.19767,272.87866,452.03568,-80.46145,198.7545,382.8774,512.1222,239.61685,-17.838879
34.000374,259.43243,428.50815,526.5696,264.5401,14.031501,48,288,438,552,309,12,557.92163,304.94736,4.997617,37.44252,272.87866,452.03568,-70.129524,198.7545,382.8774,491.20004,239.61685,-17.838879
27.911165,245.10217,428.50815,552.70654,265.37082,14.031501,45,279,438,555,309,12,563.7124,330.5225,4.997617,33.490105,286.63113,452.03568,-60.03702,188.50066,382.8774,484.83337,262.14,-17.838879
