,LTSM_pre_down_1step,LTSM_pre_down_2step,LTSM_pre_down_4step,LTSM_pre_up_1step,LTSM_pre_up_2step,LTSM_pre_up_4step,LTSM_real_down_1step,LTSM_real_down_2step,LTSM_real_down_4step,LTSM_real_up_1step,LTSM_real_up_2step,LTSM_real_up_4step
47,-91.12396,379.89966,334.53064,516.9304,27.314165,28.711912,0.0,244.1500000000001,492.0,600.0,63.35999999999946,45.0
48,-91.65506,305.33044,364.72015,518.18713,87.449455,4.017954,0.0,217.15000000000006,414.0,600.0,156.0,39.0
49,-91.8234,305.33044,364.72015,519.6748,87.449455,4.017954,0.0,217.15000000000006,414.0,600.0,156.0,39.0
50,-91.754,242.47667,364.72015,521.1555,160.79576,4.017954,0.0,193.55000000000024,414.0,600.0,293.59999999999985,39.0
51,-91.5244,242.47667,364.72015,522.3981,160.79576,4.017954,0.0,193.55000000000024,414.0,600.0,293.59999999999985,39.0
52,-91.17028,203.10779,384.0288,523.22235,217.0477,-15.482276,0.0,193.55000000000024,414.0,600.0,245.859999999999,39.0
53,-90.702644,203.10779,384.0288,523.5059,217.0477,-15.482276,0.0,193.55000000000024,414.0,600.0,245.859999999999,39.0
54,-90.12045,192.86308,384.0288,523.18054,237.28474,-15.482276,0.0,241.29000000000113,414.0,600.0,297.0,39.0
55,-89.4184,192.86308,384.0288,522.2258,237.28474,-15.482276,0.0,241.29000000000113,414.0,600.0,297.0,39.0
56,-80.46145,198.7545,382.8774,512.1222,239.61685,-17.838879,12.0,288.0,438.0,588.0,309.0,12.0
57,-70.129524,198.7545,382.8774,491.20004,239.61685,-17.838879,48.0,288.0,438.0,552.0,309.0,12.0
58,-60.03702,188.50066,382.8774,484.83337,262.14,-17.838879,45.0,279.0,438.0,555.0,309.0,12.0
59,-49.202557,188.50066,382.8774,469.04523,262.14,-17.838879,30.0,279.0,438.0,570.0,309.0,12.0
60,-40.01584,171.09958,386.71832,467.10294,279.25836,-18.366194,46.28000000000004,278.56800000000015,438.0,553.72,321.0,0.0
61,-29.964474,171.09958,386.71832,448.10648,279.25836,-18.366194,42.19600000000007,278.56800000000015,438.0,557.804,321.0,0.0
62,-19.599655,150.74792,386.71832,442.05725,295.0823,-18.366194,10.866000000000032,201.0,438.0,589.134,321.43199999999985,0.0
63,-13.802949,150.74792,386.71832,437.92902,295.0823,-18.366194,76.28000000000004,201.0,438.0,523.72,321.43199999999985,0.0
64,2.9093769,110.85195,397.4117,400.15723,339.86816,-20.34631,106.77600000000044,177.56000000000083,417.0,493.2239999999996,378.0,0.0
65,22.722675,110.85195,397.4117,394.50198,339.86816,-20.34631,148.86600000000004,177.56000000000083,417.0,451.13399999999996,378.0,0.0
66,33.2877,74.73727,397.4117,390.425,367.38577,-20.34631,129.64000000000016,79.04600000000033,417.0,470.35999999999984,422.43999999999954,0.0
67,35.509106,74.73727,397.4117,391.94574,367.38577,-20.34631,107.92800000000025,79.04600000000033,417.0,492.0719999999997,422.43999999999954,0.0
