,TRAN_real_up_1step,TRAN_real_up_2step,TRAN_real_up_4step,TRAN_pre_up_1step,TRAN_pre_up_2step,TRAN_pre_up_4step,TRAN_real_down_1step,TRAN_real_down_2step,TRAN_real_down_4step,TRAN_pre_down_1step,TRAN_pre_down_2step,TRAN_pre_down_4step
16,45.0,42.0,0.0,46.665688,37.487354,1.966893,552.0,432.00003,432.00003,565.373,446.87387,428.17322
17,42.0,42.0,0.0,37.604057,37.487354,1.966893,537.0,432.00003,432.00003,571.98065,446.87387,428.17322
18,0.0,0.0,0.0,37.96564,37.96564,1.966893,579.0,558.0,432.00003,569.54877,565.48987,428.17322
19,39.0,0.0,0.0,46.154182,37.96564,1.966893,558.0,558.0,432.00003,561.79285,565.48987,428.17322
20,45.0,21.0,0.0,23.87606,12.53342,4.0450797,579.0,474.0,474.0,576.2139,556.1619,544.4099
21,48.0,21.0,0.0,52.023518,12.53342,4.0450797,474.0,474.0,474.0,558.5393,556.1619,544.4099
22,39.0,21.0,0.0,43.210423,11.795881,4.0450797,591.0,520.8,474.0,565.89813,537.9531,544.4099
23,94.92,21.0,0.0,77.17547,11.795881,4.0450797,520.8,520.8,474.0,533.2623,537.9531,544.4099
24,152.704,152.704,150.736,169.32828,169.32828,148.87965,294.238,202.69002,94.55,264.1281,201.91876,98.039085
25,336.94,152.704,150.736,314.91177,169.32828,148.87965,202.69002,202.69002,94.55,195.90271,201.91876,98.039085
26,386.05,252.736,150.736,348.39377,268.2796,148.87965,148.7,148.7,94.55,168.77698,168.77698,98.039085
27,324.136,252.736,150.736,348.05878,268.2796,148.87965,174.19,148.7,94.55,222.54398,168.77698,98.039085
28,285.0,276.0,183.352,299.12247,299.12247,156.04935,312.0,288.0,171.0,309.23666,309.23666,191.99928
29,276.0,276.0,183.352,303.10794,299.12247,156.04935,288.0,288.0,171.0,308.67963,309.23666,191.99928
30,285.352,285.352,183.352,285.77518,285.77518,156.04935,324.0,263.352,171.0,322.9858,312.47546,191.99928
31,300.144,285.352,183.352,303.77756,285.77518,156.04935,263.352,263.352,171.0,307.21277,312.47546,191.99928
32,399.0,341.36,267.0,396.02588,396.02588,252.31306,219.0,161.7,68.57,212.823,179.44992,49.524326
33,395.9,341.36,267.0,435.1498,396.02588,252.31306,161.7,161.7,68.57,169.37863,179.44992,49.524326
34,424.97003,424.97003,267.0,480.92877,480.92877,252.31306,76.04,68.57,68.57,68.56373,50.1834,49.524326
35,450.0,424.97003,267.0,489.42072,480.92877,252.31306,68.57,68.57,68.57,51.21929,50.1834,49.524326
36,483.0,420.0,228.0,498.8559,485.85898,243.86346,18.0,18.0,6.0,31.49968,31.49968,25.964066
37,534.0,420.0,228.0,572.79315,485.85898,243.86346,39.0,18.0,6.0,32.303257,31.49968,25.964066
38,600.0,453.0,228.0,577.0196,488.6609,243.86346,6.0,6.0,6.0,27.420256,27.420256,25.964066
39,567.0,453.0,228.0,574.8634,488.6609,243.86346,51.0,6.0,6.0,30.163,27.420256,25.964066
40,600.0,486.0,237.0,601.53503,513.97614,232.60182,0.0,0.0,0.0,1.9570559,1.9570559,1.6841322
41,600.0,486.0,237.0,601.9108,513.97614,232.60182,0.0,0.0,0.0,1.9775234,1.9570559,1.6841322
42,600.0,486.0,237.0,601.71576,514.49915,232.60182,0.0,0.0,0.0,1.6654551,1.4327242,1.6841322
43,600.0,486.0,237.0,601.90686,514.49915,232.60182,0.0,0.0,0.0,1.4151335,1.4327242,1.6841322
44,600.0,486.0,237.0,601.64514,511.8249,234.10086,0.0,0.0,0.0,1.4735744,1.2501217,1.0883019
